Filename;Filetype;DTX_VERSION;Width;Height;Mipmaps Used;DTX Flags;DTX_PREFER4444;DTX_NOSYSCACHE;DTX_SECTIONSFIXED;DTX_MIPSALLOCED;DTX_PREFER16BIT;DTX_FULLBRITE;DTX_LUMBUMPMAP;DTX_BUMPMAP;DTX_CUBEMAP;DTX_32BITSYSCOPY;DTX_PREFER5551;Unknown;Surface Flag;Texture Group;BPP;Non S3TC Offset;UI Mipmap Offset;Texture Priority;Detail Scale;Detail Angle;Command String;Light String
tex\prefabs\cars\chevnova\chv_drsd_a.dtx;0;DTX_VERSION_LT2;256;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;80;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_edg_a.dtx;0;DTX_VERSION_LT2;128;8;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_edg_ab.dtx;0;DTX_VERSION_LT2;128;8;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_frnt_a.dtx;0;DTX_VERSION_LT2;256;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_frnt_ab.dtx;0;DTX_VERSION_LT2;256;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_glss.dtx;0;DTX_VERSION_LT2;64;64;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;1;BPP_32;0;0;0;0.0;0;EnvMap Tex\EnvMap\EnvMap029.dtx;
tex\prefabs\cars\chevnova\chv_hd_a.dtx;0;DTX_VERSION_LT2;256;256;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_hd_ab.dtx;0;DTX_VERSION_LT2;256;256;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;;
tex\prefabs\cars\chevnova\chv_sd1_a.dtx;0;DTX_VERSION_LT2;256;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;AlphaRef 96;
tex\prefabs\cars\chevnova\chv_sd1_ab.dtx;0;DTX_VERSION_LT2;256;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;AlphaRef 96;
tex\prefabs\cars\chevnova\chv_sd2_a.dtx;0;DTX_VERSION_LT2;512;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;AlphaRef 96;
tex\prefabs\cars\chevnova\chv_sd2_ab.dtx;0;DTX_VERSION_LT2;512;128;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;20;1;BPP_32;1;1;0;0.0;0;AlphaRef 96;
tex\prefabs\cars\chevnova\chv_seats_a.dtx;0;DTX_VERSION_LT2;256;256;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;80;1;BPP_32;1;1;0;0.0;0;;
