Filename;Filetype;DTX_VERSION;Width;Height;Mipmaps Used;DTX Flags;DTX_PREFER4444;DTX_NOSYSCACHE;DTX_SECTIONSFIXED;DTX_MIPSALLOCED;DTX_PREFER16BIT;DTX_FULLBRITE;DTX_LUMBUMPMAP;DTX_BUMPMAP;DTX_CUBEMAP;DTX_32BITSYSCOPY;DTX_PREFER5551;Unknown;Surface Flag;Texture Group;BPP;Non S3TC Offset;UI Mipmap Offset;Texture Priority;Detail Scale;Detail Angle;Command String;Light String
chars\skins\femalebystander_action_head4.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_action_head5.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_action_style2.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_action_style3.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_action_style4.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_action_style5.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_action_thief.dtx;0;DTX_VERSION_LT2;128;128;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_formal.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_formal_green.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_formal_head.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_formal_head2.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_formal_head3.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_formal_head4.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_formal_pink.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_formal_tan.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_lowrank.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_lowrank_head.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_winter.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_winter_head.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\femalebystander_winter_yellow.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\frogman_action.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
chars\skins\frogman_action_head.dtx;0;DTX_VERSION_LT2;64;64;3;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;0;BPP_32P;0;0;0;0.0;0;;
